date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-10-30,2812.24,2822.59,2809.11,2780.05,480048.78,-5.16,-0.18,2780.042,2760.48,2726.623,348595.14,284800.53,265421.79
2017-10-27,2770.53,2815.42,2814.27,2769.43,403019.56,43.23,1.56,2765.094,2752.233,2720.2,291677.45,262371.55,257410.06
2017-10-26,2760.06,2788.66,2771.04,2753.73,414731.88,18.9,0.69,2749.768,2742.144,2713.439,243270.38,241343.0,250438.96
2017-10-25,2753.93,2756.76,2752.14,2746.27,196467.22,-1.51,-0.06,2746.768,2736.875,2708.665,217559.74,223792.69,245579.09
2017-10-24,2732.94,2762.59,2753.65,2730.84,248708.27,19.28,0.7,2746.942,2732.413,2704.189,234787.94,228744.45,248439.7
2017-10-23,2744.33,2747.0,2734.37,2732.63,195460.34,-3.27,-0.12,2740.918,2726.602,2700.041,221005.91,233848.35,251047.96
2017-10-20,2744.49,2746.23,2737.64,2733.72,160984.2,-18.4,-0.67,2739.372,2722.373,2697.032,233065.64,255791.61,257842.27
2017-10-19,2750.64,2756.04,2756.04,2743.13,286178.69,3.03,0.11,2734.52,2715.842,2693.569,239415.61,259897.86,267117.55
2017-10-18,2725.67,2753.92,2753.01,2723.76,282608.22,29.48,1.08,2726.982,2706.366,2689.409,230025.63,252941.87,267101.98
2017-10-17,2725.2,2734.31,2723.53,2716.4,179798.09,-3.11,-0.11,2717.884,2697.22,2686.142,222700.95,244739.68,263570.43
2017-10-16,2719.31,2741.1,2726.64,2715.05,255758.98,13.26,0.49,2712.286,2692.766,2684.592,246690.79,246043.05,269974.69
2017-10-13,2716.0,2722.23,2713.38,2711.95,192734.09,-4.97,-0.18,2705.374,2688.167,2681.998,278517.58,252448.57,271728.79
2017-10-12,2706.42,2724.83,2718.35,2702.31,239228.77,10.83,0.4,2697.164,2684.734,2680.663,280380.1,259534.91,274327.73
2017-10-11,2694.5,2717.33,2707.52,2692.77,245984.83,11.98,0.44,2685.75,2680.454,2679.337,275858.1,267365.49,276184.35
2017-10-10,2693.25,2711.31,2695.54,2671.94,299747.28,3.46,0.13,2676.556,2675.965,2679.678,266778.41,268134.95,279454.07
2017-10-09,2736.83,2743.36,2692.08,2688.54,414892.91,19.75,0.74,2673.246,2673.48,2681.393,245395.31,268247.58,279734.1
2017-09-29,2661.52,2682.17,2672.33,2660.86,202046.69,11.05,0.41,2670.96,2671.69,2682.357,226379.57,259892.93,275587.6
2017-09-28,2661.54,2663.7,2661.28,2653.46,216618.81,-0.27,-0.01,2672.304,2671.295,2684.246,238689.73,274337.24,287031.91
